contratacion_id,empresa_id,empresa,anio,mes,mes_nombre,trimestre,rol,candidatos_recibidos,entrevistados,ofertas_enviadas,contratados,tasa_conversion_pct,tiempo_contratacion_dias,fuente_principal
CNT00522,E03,Neoris,2023,5,May,Q2,Software Developer,300,83,16,12,4.0,43,Glassdoor
CNT00523,E03,Neoris,2023,5,May,Q2,Backend Developer,72,24,6,5,6.94,51,OCC Mundial
CNT00524,E03,Neoris,2023,5,May,Q2,Frontend Developer,132,55,17,14,10.61,19,Referidos
CNT00525,E03,Neoris,2023,5,May,Q2,Full Stack Developer,100,32,6,4,4.0,44,OCC Mundial
CNT00526,E03,Neoris,2023,5,May,Q2,DevOps Engineer,150,49,18,11,7.33,21,LinkedIn
CNT00527,E03,Neoris,2023,5,May,Q2,Cloud Architect,55,20,4,3,5.45,34,OCC Mundial
CNT00528,E03,Neoris,2023,5,May,Q2,Scrum Master,30,12,4,3,10.0,63,LinkedIn
CNT00529,E03,Neoris,2023,5,May,Q2,Project Manager,36,10,2,1,2.78,36,Glassdoor
CNT00530,E03,Neoris,2023,5,May,Q2,Cybersecurity Analyst,72,30,8,5,6.94,20,LinkedIn
CNT00531,E03,Neoris,2023,6,June,Q2,Data Analyst,81,28,10,6,7.41,26,Universidad UANL/ITESM
CNT00532,E03,Neoris,2023,6,June,Q2,Software Developer,408,119,34,30,7.35,34,OCC Mundial
CNT00533,E03,Neoris,2023,6,June,Q2,Backend Developer,110,46,10,8,7.27,60,LinkedIn
CNT00534,E03,Neoris,2023,6,June,Q2,Frontend Developer,110,29,8,5,4.55,35,LinkedIn
CNT00535,E03,Neoris,2023,6,June,Q2,Full Stack Developer,152,56,15,12,7.89,20,LinkedIn
CNT00536,E03,Neoris,2023,6,June,Q2,DevOps Engineer,72,30,6,5,6.94,48,Csoftmty Jobs
CNT00537,E03,Neoris,2023,6,June,Q2,Cloud Architect,60,20,6,4,6.67,51,Referidos
CNT00538,E03,Neoris,2023,6,June,Q2,Scrum Master,90,39,12,10,11.11,47,Glassdoor
CNT00539,E03,Neoris,2023,6,June,Q2,Project Manager,72,22,7,5,6.94,51,OCC Mundial
CNT00540,E03,Neoris,2023,6,June,Q2,Cybersecurity Analyst,70,29,10,8,11.43,53,LinkedIn
CNT00541,E03,Neoris,2023,7,July,Q3,Data Analyst,130,53,19,12,9.23,19,LinkedIn
CNT00542,E03,Neoris,2023,7,July,Q3,Software Developer,128,49,12,7,5.47,33,LinkedIn
CNT00543,E03,Neoris,2023,7,July,Q3,Backend Developer,216,58,13,9,4.17,46,Csoftmty Jobs
CNT00544,E03,Neoris,2023,7,July,Q3,Frontend Developer,96,36,11,9,9.38,41,Referidos
CNT00545,E03,Neoris,2023,7,July,Q3,Full Stack Developer,132,37,11,9,6.82,50,Universidad UANL/ITESM
CNT00546,E03,Neoris,2023,7,July,Q3,DevOps Engineer,50,18,4,2,4.0,41,Glassdoor
CNT00547,E03,Neoris,2023,7,July,Q3,Cloud Architect,45,13,2,1,2.22,57,LinkedIn
CNT00548,E03,Neoris,2023,7,July,Q3,Scrum Master,96,38,9,8,8.33,47,Glassdoor
CNT00549,E03,Neoris,2023,7,July,Q3,Project Manager,51,16,3,2,3.92,52,OCC Mundial
CNT00550,E03,Neoris,2023,7,July,Q3,Cybersecurity Analyst,72,23,6,4,5.56,42,LinkedIn
CNT00551,E03,Neoris,2023,8,August,Q3,Data Analyst,112,34,11,9,8.04,61,Referidos
CNT00552,E03,Neoris,2023,8,August,Q3,Software Developer,240,70,26,15,6.25,51,LinkedIn
CNT00553,E03,Neoris,2023,8,August,Q3,Backend Developer,154,65,22,16,10.39,61,OCC Mundial
CNT00554,E03,Neoris,2023,8,August,Q3,Frontend Developer,160,56,19,16,10.0,21,Universidad UANL/ITESM
CNT00555,E03,Neoris,2023,8,August,Q3,Full Stack Developer,80,32,11,7,8.75,59,LinkedIn
CNT00556,E03,Neoris,2023,8,August,Q3,DevOps Engineer,126,35,9,6,4.76,59,Referidos
CNT00557,E03,Neoris,2023,8,August,Q3,Cloud Architect,30,8,3,2,6.67,26,Universidad UANL/ITESM
CNT00558,E03,Neoris,2023,8,August,Q3,Scrum Master,152,61,21,18,11.84,58,LinkedIn
CNT00559,E03,Neoris,2023,8,August,Q3,Project Manager,72,22,6,4,5.56,62,LinkedIn
CNT00560,E03,Neoris,2023,8,August,Q3,Cybersecurity Analyst,88,27,6,5,5.68,23,Universidad UANL/ITESM
CNT00561,E03,Neoris,2023,9,September,Q3,Data Analyst,108,29,8,4,3.7,27,Glassdoor
CNT00562,E03,Neoris,2023,9,September,Q3,Software Developer,266,100,34,29,10.9,30,Referidos
CNT00563,E03,Neoris,2023,9,September,Q3,Backend Developer,285,71,18,16,5.61,41,Csoftmty Jobs
CNT00564,E03,Neoris,2023,9,September,Q3,Frontend Developer,80,30,8,6,7.5,51,LinkedIn
CNT00565,E03,Neoris,2023,9,September,Q3,Full Stack Developer,272,99,28,16,5.88,35,LinkedIn
CNT00566,E03,Neoris,2023,9,September,Q3,DevOps Engineer,120,49,14,10,8.33,23,OCC Mundial
CNT00567,E03,Neoris,2023,9,September,Q3,Cloud Architect,18,6,1,0,0.0,64,LinkedIn
CNT00568,E03,Neoris,2023,9,September,Q3,Scrum Master,108,32,12,8,7.41,35,Csoftmty Jobs
CNT00569,E03,Neoris,2023,9,September,Q3,Project Manager,84,29,6,4,4.76,52,Glassdoor
CNT00570,E03,Neoris,2023,9,September,Q3,Cybersecurity Analyst,98,26,6,4,4.08,41,Glassdoor
CNT00571,E03,Neoris,2023,10,October,Q4,Data Analyst,273,71,17,11,4.03,22,LinkedIn
CNT00572,E03,Neoris,2023,10,October,Q4,Software Developer,540,171,42,31,5.74,36,LinkedIn
CNT00573,E03,Neoris,2023,10,October,Q4,Backend Developer,135,42,13,10,7.41,30,LinkedIn
CNT00574,E03,Neoris,2023,10,October,Q4,Frontend Developer,96,30,9,6,6.25,41,OCC Mundial
CNT00575,E03,Neoris,2023,10,October,Q4,Full Stack Developer,120,40,15,12,10.0,26,Glassdoor
CNT00576,E03,Neoris,2023,10,October,Q4,DevOps Engineer,57,21,6,5,8.77,18,OCC Mundial
CNT00577,E03,Neoris,2023,10,October,Q4,Cloud Architect,64,19,6,5,7.81,56,LinkedIn
CNT00578,E03,Neoris,2023,10,October,Q4,Scrum Master,72,21,4,2,2.78,55,Universidad UANL/ITESM
CNT00579,E03,Neoris,2023,10,October,Q4,Project Manager,44,16,5,4,9.09,56,Referidos
CNT00580,E03,Neoris,2023,10,October,Q4,Cybersecurity Analyst,152,63,19,15,9.87,33,LinkedIn
CNT00581,E03,Neoris,2023,11,November,Q4,Data Analyst,170,73,17,14,8.24,59,LinkedIn
CNT00582,E03,Neoris,2023,11,November,Q4,Software Developer,342,90,24,17,4.97,18,Glassdoor
CNT00583,E03,Neoris,2023,11,November,Q4,Backend Developer,176,63,14,11,6.25,60,LinkedIn
CNT00584,E03,Neoris,2023,11,November,Q4,Frontend Developer,90,38,8,6,6.67,27,LinkedIn
CNT00585,E03,Neoris,2023,11,November,Q4,Full Stack Developer,130,39,13,10,7.69,49,OCC Mundial
CNT00586,E03,Neoris,2023,11,November,Q4,DevOps Engineer,136,48,12,7,5.15,34,LinkedIn
CNT00587,E03,Neoris,2023,11,November,Q4,Cloud Architect,81,27,6,4,4.94,48,OCC Mundial
CNT00588,E03,Neoris,2023,11,November,Q4,Scrum Master,162,57,22,14,8.64,31,LinkedIn
CNT00589,E03,Neoris,2023,11,November,Q4,Project Manager,152,52,10,7,4.61,64,OCC Mundial
CNT00590,E03,Neoris,2023,11,November,Q4,Cybersecurity Analyst,130,52,15,10,7.69,34,OCC Mundial
CNT00591,E03,Neoris,2023,12,December,Q4,Data Analyst,209,83,27,21,10.05,56,Referidos
CNT00592,E03,Neoris,2023,12,December,Q4,Software Developer,361,107,35,31,8.59,64,OCC Mundial
CNT00593,E03,Neoris,2023,12,December,Q4,Backend Developer,209,91,33,25,11.96,29,Csoftmty Jobs
CNT00594,E03,Neoris,2023,12,December,Q4,Frontend Developer,99,40,11,8,8.08,50,Referidos
CNT00595,E03,Neoris,2023,12,December,Q4,Full Stack Developer,128,52,10,7,5.47,62,Referidos
CNT00596,E03,Neoris,2023,12,December,Q4,DevOps Engineer,88,27,8,6,6.82,57,LinkedIn
CNT00597,E03,Neoris,2023,12,December,Q4,Cloud Architect,85,30,6,3,3.53,49,Referidos
CNT00598,E03,Neoris,2023,12,December,Q4,Scrum Master,40,12,2,1,2.5,28,Glassdoor
CNT00599,E03,Neoris,2023,12,December,Q4,Project Manager,72,31,9,5,6.94,34,Referidos
CNT00600,E03,Neoris,2023,12,December,Q4,Cybersecurity Analyst,72,18,6,3,4.17,21,Glassdoor
CNT00601,E03,Neoris,2024,1,January,Q1,Data Analyst,216,96,25,20,9.26,28,LinkedIn
CNT00602,E03,Neoris,2024,1,January,Q1,Software Developer,306,102,21,15,4.9,22,Referidos
CNT00603,E03,Neoris,2024,1,January,Q1,Backend Developer,80,26,8,6,7.5,18,Csoftmty Jobs
CNT00604,E03,Neoris,2024,1,January,Q1,Frontend Developer,72,18,6,3,4.17,21,OCC Mundial
CNT00605,E03,Neoris,2024,1,January,Q1,Full Stack Developer,132,50,14,8,6.06,63,Referidos
CNT00606,E03,Neoris,2024,1,January,Q1,DevOps Engineer,117,47,9,5,4.27,51,Referidos
CNT00607,E03,Neoris,2024,1,January,Q1,Cloud Architect,91,39,8,5,5.49,34,LinkedIn
CNT00608,E03,Neoris,2024,1,January,Q1,Scrum Master,70,25,6,3,4.29,60,OCC Mundial
CNT00609,E03,Neoris,2024,1,January,Q1,Project Manager,32,10,2,1,3.12,23,OCC Mundial
CNT00610,E03,Neoris,2024,1,January,Q1,Cybersecurity Analyst,114,48,17,13,11.4,56,Referidos
CNT00611,E03,Neoris,2024,2,February,Q1,Data Analyst,91,33,7,6,6.59,57,OCC Mundial
CNT00612,E03,Neoris,2024,2,February,Q1,Software Developer,171,46,15,10,5.85,59,Universidad UANL/ITESM
CNT00613,E03,Neoris,2024,2,February,Q1,Backend Developer,187,53,15,9,4.81,32,Referidos
CNT00614,E03,Neoris,2024,2,February,Q1,Frontend Developer,132,58,21,13,9.85,35,Referidos
CNT00615,E03,Neoris,2024,2,February,Q1,Full Stack Developer,221,90,26,17,7.69,23,Referidos
CNT00616,E03,Neoris,2024,2,February,Q1,DevOps Engineer,98,39,9,6,6.12,18,Glassdoor
CNT00617,E03,Neoris,2024,2,February,Q1,Cloud Architect,119,48,18,11,9.24,58,OCC Mundial
CNT00618,E03,Neoris,2024,2,February,Q1,Scrum Master,51,15,4,3,5.88,39,Universidad UANL/ITESM
CNT00619,E03,Neoris,2024,2,February,Q1,Project Manager,76,23,4,3,3.95,19,LinkedIn
CNT00620,E03,Neoris,2024,2,February,Q1,Cybersecurity Analyst,72,22,5,4,5.56,53,Referidos
CNT00621,E03,Neoris,2024,3,March,Q1,Data Analyst,108,36,13,8,7.41,58,Glassdoor
CNT00622,E03,Neoris,2024,3,March,Q1,Software Developer,338,95,23,20,5.92,37,LinkedIn
CNT00623,E03,Neoris,2024,3,March,Q1,Backend Developer,272,104,36,30,11.03,21,OCC Mundial
CNT00624,E03,Neoris,2024,3,March,Q1,Frontend Developer,72,31,7,6,8.33,62,LinkedIn
CNT00625,E03,Neoris,2024,3,March,Q1,Full Stack Developer,266,92,28,17,6.39,59,OCC Mundial
CNT00626,E03,Neoris,2024,3,March,Q1,DevOps Engineer,162,51,18,11,6.79,42,LinkedIn
CNT00627,E03,Neoris,2024,3,March,Q1,Cloud Architect,16,5,1,0,0.0,63,Csoftmty Jobs
CNT00628,E03,Neoris,2024,3,March,Q1,Scrum Master,26,7,2,1,3.85,34,Referidos
CNT00629,E03,Neoris,2024,3,March,Q1,Project Manager,44,17,4,3,6.82,34,OCC Mundial
CNT00630,E03,Neoris,2024,3,March,Q1,Cybersecurity Analyst,120,52,18,14,11.67,56,Referidos
CNT00631,E03,Neoris,2024,4,April,Q2,Data Analyst,169,47,12,9,5.33,19,LinkedIn
CNT00632,E03,Neoris,2024,4,April,Q2,Software Developer,187,61,14,8,4.28,18,LinkedIn
CNT00633,E03,Neoris,2024,4,April,Q2,Backend Developer,140,40,9,6,4.29,62,LinkedIn
CNT00634,E03,Neoris,2024,4,April,Q2,Frontend Developer,102,26,7,4,3.92,49,OCC Mundial
CNT00635,E03,Neoris,2024,4,April,Q2,Full Stack Developer,162,46,10,6,3.7,50,OCC Mundial
CNT00636,E03,Neoris,2024,4,April,Q2,DevOps Engineer,50,17,4,3,6.0,52,OCC Mundial
CNT00637,E03,Neoris,2024,4,April,Q2,Cloud Architect,66,21,5,3,4.55,49,Glassdoor
CNT00638,E03,Neoris,2024,4,April,Q2,Scrum Master,64,17,4,2,3.12,39,OCC Mundial
CNT00639,E03,Neoris,2024,4,April,Q2,Project Manager,56,17,5,4,7.14,36,Referidos
CNT00640,E03,Neoris,2024,4,April,Q2,Cybersecurity Analyst,102,37,12,8,7.84,26,Glassdoor
CNT00641,E03,Neoris,2024,5,May,Q2,Data Analyst,228,71,23,14,6.14,22,OCC Mundial
CNT00642,E03,Neoris,2024,5,May,Q2,Software Developer,176,71,20,14,7.95,53,Glassdoor
CNT00643,E03,Neoris,2024,5,May,Q2,Backend Developer,255,73,15,13,5.1,51,Referidos
CNT00644,E03,Neoris,2024,5,May,Q2,Frontend Developer,150,64,20,13,8.67,35,OCC Mundial
CNT00645,E03,Neoris,2024,5,May,Q2,Full Stack Developer,40,17,4,2,5.0,51,LinkedIn
CNT00646,E03,Neoris,2024,5,May,Q2,DevOps Engineer,64,17,4,3,4.69,57,Glassdoor
CNT00647,E03,Neoris,2024,5,May,Q2,Cloud Architect,56,21,5,3,5.36,26,Csoftmty Jobs
CNT00648,E03,Neoris,2024,5,May,Q2,Scrum Master,70,26,5,4,5.71,42,LinkedIn
CNT00649,E03,Neoris,2024,5,May,Q2,Project Manager,132,37,14,8,6.06,42,Glassdoor
CNT00650,E03,Neoris,2024,5,May,Q2,Cybersecurity Analyst,156,62,13,11,7.05,24,LinkedIn
CNT00651,E03,Neoris,2024,6,June,Q2,Data Analyst,170,63,24,20,11.76,36,Glassdoor
CNT00652,E03,Neoris,2024,6,June,Q2,Software Developer,252,88,24,21,8.33,61,Referidos
CNT00653,E03,Neoris,2024,6,June,Q2,Backend Developer,182,54,12,7,3.85,41,LinkedIn
CNT00654,E03,Neoris,2024,6,June,Q2,Frontend Developer,40,16,5,4,10.0,32,Referidos
CNT00655,E03,Neoris,2024,6,June,Q2,Full Stack Developer,198,61,21,15,7.58,21,LinkedIn
CNT00656,E03,Neoris,2024,6,June,Q2,DevOps Engineer,91,38,9,7,7.69,57,Csoftmty Jobs
CNT00657,E03,Neoris,2024,6,June,Q2,Cloud Architect,32,9,2,1,3.12,29,OCC Mundial
CNT00658,E03,Neoris,2024,6,June,Q2,Scrum Master,75,20,5,4,5.33,35,OCC Mundial
CNT00659,E03,Neoris,2024,6,June,Q2,Project Manager,130,53,10,7,5.38,37,OCC Mundial
CNT00660,E03,Neoris,2024,6,June,Q2,Cybersecurity Analyst,50,20,7,5,10.0,53,Referidos
CNT00661,E03,Neoris,2024,7,July,Q3,Data Analyst,136,57,20,14,10.29,50,Referidos
CNT00662,E03,Neoris,2024,7,July,Q3,Software Developer,319,96,24,15,4.7,35,Referidos
CNT00663,E03,Neoris,2024,7,July,Q3,Backend Developer,104,27,9,6,5.77,56,LinkedIn
CNT00664,E03,Neoris,2024,7,July,Q3,Frontend Developer,48,17,6,4,8.33,60,LinkedIn
CNT00665,E03,Neoris,2024,7,July,Q3,Full Stack Developer,104,31,7,5,4.81,21,Universidad UANL/ITESM
CNT00666,E03,Neoris,2024,7,July,Q3,DevOps Engineer,81,32,7,4,4.94,47,LinkedIn
CNT00667,E03,Neoris,2024,7,July,Q3,Cloud Architect,45,13,4,2,4.44,46,Referidos
CNT00668,E03,Neoris,2024,7,July,Q3,Scrum Master,95,27,6,5,5.26,50,OCC Mundial
CNT00669,E03,Neoris,2024,7,July,Q3,Project Manager,119,44,10,6,5.04,29,LinkedIn
CNT00670,E03,Neoris,2024,7,July,Q3,Cybersecurity Analyst,22,9,2,1,4.55,33,Csoftmty Jobs
CNT00671,E03,Neoris,2024,8,August,Q3,Data Analyst,196,74,27,21,10.71,39,Glassdoor
CNT00672,E03,Neoris,2024,8,August,Q3,Software Developer,324,134,29,18,5.56,56,LinkedIn
CNT00673,E03,Neoris,2024,8,August,Q3,Backend Developer,286,73,22,18,6.29,22,LinkedIn
CNT00674,E03,Neoris,2024,8,August,Q3,Frontend Developer,70,27,8,4,5.71,53,LinkedIn
CNT00675,E03,Neoris,2024,8,August,Q3,Full Stack Developer,140,55,20,17,12.14,40,Referidos
CNT00676,E03,Neoris,2024,8,August,Q3,DevOps Engineer,81,27,8,6,7.41,34,Referidos
CNT00677,E03,Neoris,2024,8,August,Q3,Cloud Architect,96,30,8,4,4.17,20,Referidos
CNT00678,E03,Neoris,2024,8,August,Q3,Scrum Master,128,39,9,5,3.91,24,Glassdoor
CNT00679,E03,Neoris,2024,8,August,Q3,Project Manager,140,43,9,7,5.0,23,OCC Mundial
CNT00680,E03,Neoris,2024,8,August,Q3,Cybersecurity Analyst,90,25,6,4,4.44,41,LinkedIn
CNT00681,E03,Neoris,2024,9,September,Q3,Data Analyst,196,55,18,12,6.12,55,Universidad UANL/ITESM
CNT00682,E03,Neoris,2024,9,September,Q3,Software Developer,91,36,10,7,7.69,55,Csoftmty Jobs
CNT00683,E03,Neoris,2024,9,September,Q3,Backend Developer,255,99,20,14,5.49,45,Referidos
CNT00684,E03,Neoris,2024,9,September,Q3,Frontend Developer,108,41,11,8,7.41,18,Csoftmty Jobs
CNT00685,E03,Neoris,2024,9,September,Q3,Full Stack Developer,140,41,14,9,6.43,28,LinkedIn
CNT00686,E03,Neoris,2024,9,September,Q3,DevOps Engineer,66,22,6,5,7.58,23,LinkedIn
CNT00687,E03,Neoris,2024,9,September,Q3,Cloud Architect,56,17,6,3,5.36,63,LinkedIn
CNT00688,E03,Neoris,2024,9,September,Q3,Scrum Master,117,38,7,5,4.27,28,Referidos
CNT00689,E03,Neoris,2024,9,September,Q3,Project Manager,112,32,11,7,6.25,24,OCC Mundial
CNT00690,E03,Neoris,2024,9,September,Q3,Cybersecurity Analyst,144,45,13,9,6.25,33,OCC Mundial
CNT00691,E03,Neoris,2024,10,October,Q4,Data Analyst,64,18,6,4,6.25,40,Referidos
CNT00692,E03,Neoris,2024,10,October,Q4,Software Developer,225,93,35,23,10.22,31,LinkedIn
CNT00693,E03,Neoris,2024,10,October,Q4,Backend Developer,255,68,26,20,7.84,24,LinkedIn
CNT00694,E03,Neoris,2024,10,October,Q4,Frontend Developer,63,16,5,3,4.76,21,OCC Mundial
CNT00695,E03,Neoris,2024,10,October,Q4,Full Stack Developer,98,34,10,7,7.14,35,LinkedIn
CNT00696,E03,Neoris,2024,10,October,Q4,DevOps Engineer,133,54,14,12,9.02,42,Glassdoor
CNT00697,E03,Neoris,2024,10,October,Q4,Cloud Architect,42,14,4,2,4.76,52,LinkedIn
CNT00698,E03,Neoris,2024,10,October,Q4,Scrum Master,114,38,14,11,9.65,18,LinkedIn
CNT00699,E03,Neoris,2024,10,October,Q4,Project Manager,30,9,1,0,0.0,45,OCC Mundial
CNT00700,E03,Neoris,2024,10,October,Q4,Cybersecurity Analyst,96,41,11,7,7.29,28,Referidos
CNT00701,E03,Neoris,2024,11,November,Q4,Data Analyst,96,36,9,7,7.29,54,Referidos
CNT00702,E03,Neoris,2024,11,November,Q4,Software Developer,180,60,23,19,10.56,59,LinkedIn
CNT00703,E03,Neoris,2024,11,November,Q4,Backend Developer,209,62,19,14,6.7,39,Csoftmty Jobs
CNT00704,E03,Neoris,2024,11,November,Q4,Frontend Developer,105,30,9,5,4.76,45,Glassdoor
CNT00705,E03,Neoris,2024,11,November,Q4,Full Stack Developer,204,57,15,10,4.9,45,Csoftmty Jobs
CNT00706,E03,Neoris,2024,11,November,Q4,DevOps Engineer,120,44,16,10,8.33,57,Referidos
CNT00707,E03,Neoris,2024,11,November,Q4,Cloud Architect,27,9,2,1,3.7,29,Glassdoor
CNT00708,E03,Neoris,2024,11,November,Q4,Scrum Master,40,15,5,3,7.5,32,OCC Mundial
CNT00709,E03,Neoris,2024,11,November,Q4,Project Manager,40,14,5,4,10.0,55,Universidad UANL/ITESM
CNT00710,E03,Neoris,2024,11,November,Q4,Cybersecurity Analyst,22,8,2,1,4.55,57,Referidos
CNT00711,E03,Neoris,2024,12,December,Q4,Data Analyst,99,33,8,4,4.04,46,LinkedIn
CNT00712,E03,Neoris,2024,12,December,Q4,Software Developer,169,69,21,17,10.06,41,LinkedIn
CNT00713,E03,Neoris,2024,12,December,Q4,Backend Developer,196,83,20,15,7.65,32,LinkedIn
CNT00714,E03,Neoris,2024,12,December,Q4,Frontend Developer,153,62,23,15,9.8,55,OCC Mundial
CNT00715,E03,Neoris,2024,12,December,Q4,Full Stack Developer,72,21,7,6,8.33,57,OCC Mundial
CNT00716,E03,Neoris,2024,12,December,Q4,DevOps Engineer,152,54,19,13,8.55,29,Referidos
CNT00717,E03,Neoris,2024,12,December,Q4,Cloud Architect,54,20,6,5,9.26,37,Csoftmty Jobs
CNT00718,E03,Neoris,2024,12,December,Q4,Scrum Master,24,6,1,0,0.0,26,Referidos
CNT00719,E03,Neoris,2024,12,December,Q4,Project Manager,40,14,5,4,10.0,24,LinkedIn
CNT00720,E03,Neoris,2024,12,December,Q4,Cybersecurity Analyst,84,32,11,7,8.33,28,Referidos
CNT00721,E04,Infosys Monterrey,2023,1,January,Q1,Data Analyst,96,36,11,9,9.38,35,Universidad UANL/ITESM
CNT00722,E04,Infosys Monterrey,2023,1,January,Q1,Software Developer,96,31,6,5,5.21,61,OCC Mundial
CNT00723,E04,Infosys Monterrey,2023,1,January,Q1,Backend Developer,156,59,15,10,6.41,55,Referidos
CNT00724,E04,Infosys Monterrey,2023,1,January,Q1,Frontend Developer,84,26,10,6,7.14,21,OCC Mundial
CNT00725,E04,Infosys Monterrey,2023,1,January,Q1,Full Stack Developer,135,38,7,4,2.96,22,Glassdoor
CNT00726,E04,Infosys Monterrey,2023,1,January,Q1,DevOps Engineer,78,34,9,5,6.41,47,Referidos
CNT00727,E04,Infosys Monterrey,2023,1,January,Q1,Cloud Architect,72,18,5,3,4.17,52,LinkedIn
CNT00728,E04,Infosys Monterrey,2023,1,January,Q1,Scrum Master,64,24,9,6,9.38,28,LinkedIn
CNT00729,E04,Infosys Monterrey,2023,1,January,Q1,Project Manager,34,9,2,1,2.94,22,Referidos
CNT00730,E04,Infosys Monterrey,2023,1,January,Q1,Cybersecurity Analyst,96,40,11,7,7.29,43,Referidos
CNT00731,E04,Infosys Monterrey,2023,2,February,Q1,Data Analyst,154,65,17,10,6.49,40,Glassdoor
CNT00732,E04,Infosys Monterrey,2023,2,February,Q1,Software Developer,285,96,22,17,5.96,49,OCC Mundial
CNT00733,E04,Infosys Monterrey,2023,2,February,Q1,Backend Developer,198,83,18,15,7.58,57,OCC Mundial
CNT00734,E04,Infosys Monterrey,2023,2,February,Q1,Frontend Developer,102,28,9,7,6.86,62,OCC Mundial
CNT00735,E04,Infosys Monterrey,2023,2,February,Q1,Full Stack Developer,72,20,6,4,5.56,38,OCC Mundial
CNT00736,E04,Infosys Monterrey,2023,2,February,Q1,DevOps Engineer,144,47,10,7,4.86,38,LinkedIn
CNT00737,E04,Infosys Monterrey,2023,2,February,Q1,Cloud Architect,32,10,3,2,6.25,22,OCC Mundial
CNT00738,E04,Infosys Monterrey,2023,2,February,Q1,Scrum Master,95,42,14,9,9.47,58,OCC Mundial
CNT00739,E04,Infosys Monterrey,2023,2,February,Q1,Project Manager,50,18,4,2,4.0,26,LinkedIn
CNT00740,E04,Infosys Monterrey,2023,2,February,Q1,Cybersecurity Analyst,128,43,12,7,5.47,42,Csoftmty Jobs
CNT00741,E04,Infosys Monterrey,2023,3,March,Q1,Data Analyst,126,47,14,10,7.94,25,OCC Mundial
CNT00742,E04,Infosys Monterrey,2023,3,March,Q1,Software Developer,456,152,50,36,7.89,18,OCC Mundial
CNT00743,E04,Infosys Monterrey,2023,3,March,Q1,Backend Developer,198,63,16,12,6.06,33,Referidos
CNT00744,E04,Infosys Monterrey,2023,3,March,Q1,Frontend Developer,180,67,16,14,7.78,41,Referidos
CNT00745,E04,Infosys Monterrey,2023,3,March,Q1,Full Stack Developer,80,21,7,5,6.25,35,OCC Mundial
CNT00746,E04,Infosys Monterrey,2023,3,March,Q1,DevOps Engineer,36,10,2,1,2.78,30,Referidos
CNT00747,E04,Infosys Monterrey,2023,3,March,Q1,Cloud Architect,44,15,5,3,6.82,49,LinkedIn
CNT00748,E04,Infosys Monterrey,2023,3,March,Q1,Scrum Master,90,27,9,6,6.67,45,Csoftmty Jobs
CNT00749,E04,Infosys Monterrey,2023,3,March,Q1,Project Manager,22,9,2,1,4.55,38,Glassdoor
CNT00750,E04,Infosys Monterrey,2023,3,March,Q1,Cybersecurity Analyst,88,31,9,7,7.95,49,LinkedIn
CNT00751,E04,Infosys Monterrey,2023,4,April,Q2,Data Analyst,117,37,12,8,6.84,35,OCC Mundial
CNT00752,E04,Infosys Monterrey,2023,4,April,Q2,Software Developer,270,90,34,26,9.63,18,Referidos
CNT00753,E04,Infosys Monterrey,2023,4,April,Q2,Backend Developer,140,53,20,15,10.71,36,Referidos
CNT00754,E04,Infosys Monterrey,2023,4,April,Q2,Frontend Developer,105,35,12,9,8.57,18,LinkedIn
CNT00755,E04,Infosys Monterrey,2023,4,April,Q2,Full Stack Developer,70,21,7,5,7.14,60,LinkedIn
CNT00756,E04,Infosys Monterrey,2023,4,April,Q2,DevOps Engineer,108,44,12,9,8.33,33,Referidos
CNT00757,E04,Infosys Monterrey,2023,4,April,Q2,Cloud Architect,114,43,15,9,7.89,48,LinkedIn
CNT00758,E04,Infosys Monterrey,2023,4,April,Q2,Scrum Master,30,12,2,1,3.33,33,LinkedIn
CNT00759,E04,Infosys Monterrey,2023,4,April,Q2,Project Manager,57,23,4,3,5.26,51,Referidos
CNT00760,E04,Infosys Monterrey,2023,4,April,Q2,Cybersecurity Analyst,90,23,5,3,3.33,33,Referidos
CNT00761,E04,Infosys Monterrey,2023,5,May,Q2,Data Analyst,204,72,15,10,4.9,63,Glassdoor
CNT00762,E04,Infosys Monterrey,2023,5,May,Q2,Software Developer,154,43,11,8,5.19,61,Referidos
CNT00763,E04,Infosys Monterrey,2023,5,May,Q2,Backend Developer,144,52,17,11,7.64,53,Glassdoor
CNT00764,E04,Infosys Monterrey,2023,5,May,Q2,Frontend Developer,44,12,4,3,6.82,41,Referidos
CNT00765,E04,Infosys Monterrey,2023,5,May,Q2,Full Stack Developer,112,47,17,12,10.71,46,LinkedIn
CNT00766,E04,Infosys Monterrey,2023,5,May,Q2,DevOps Engineer,90,32,9,8,8.89,45,Csoftmty Jobs
CNT00767,E04,Infosys Monterrey,2023,5,May,Q2,Cloud Architect,36,12,4,3,8.33,50,OCC Mundial
CNT00768,E04,Infosys Monterrey,2023,5,May,Q2,Scrum Master,133,47,13,8,6.02,18,Csoftmty Jobs
CNT00769,E04,Infosys Monterrey,2023,5,May,Q2,Project Manager,128,52,17,11,8.59,43,LinkedIn
CNT00770,E04,Infosys Monterrey,2023,5,May,Q2,Cybersecurity Analyst,60,25,8,6,10.0,54,Csoftmty Jobs
CNT00771,E04,Infosys Monterrey,2023,6,June,Q2,Data Analyst,140,44,12,10,7.14,41,LinkedIn
CNT00772,E04,Infosys Monterrey,2023,6,June,Q2,Software Developer,112,43,15,9,8.04,47,LinkedIn
