encuesta_id,empleado_id,empresa_id,empresa,rol,nivel,anio,satisfaccion_general,satisfaccion_salario,satisfaccion_ambiente,satisfaccion_crecimiento,satisfaccion_liderazgo,intencion_salida,razon_posible_salida
ENC000196,EMP07304,E10,Axsis Tecnología,Cloud Architect,Senior,2024,3.8,3.8,3.7,3.6,3.8,No,Trabajo remoto
ENC000197,EMP00683,E01,Accenture Monterrey,Data Analyst,Senior,2023,3.9,3.7,3.9,3.7,3.9,No,Crecimiento profesional
ENC000198,EMP00683,E01,Accenture Monterrey,Data Analyst,Senior,2024,4.1,3.3,4.2,3.7,4.2,No,Trabajo remoto
ENC000199,EMP06782,E08,AZKA IT Consulting,Frontend Developer,Junior,2023,4.6,4.5,5.0,4.4,4.3,Tal vez,Mejor salario
ENC000200,EMP06782,E08,AZKA IT Consulting,Frontend Developer,Junior,2024,3.8,3.6,3.8,3.1,4.0,No,N/A
ENC000201,EMP03334,E03,Neoris,Data Analyst,Mid,2023,4.5,4.0,4.6,4.7,4.2,Sí,Crecimiento profesional
ENC000202,EMP03334,E03,Neoris,Data Analyst,Mid,2024,4.9,4.6,5.0,5.0,4.9,Sí,Mejor salario
ENC000203,EMP04395,E04,Infosys Monterrey,DevOps Engineer,Mid,2023,3.9,4.2,4.4,3.9,3.8,Tal vez,Trabajo remoto
ENC000204,EMP04395,E04,Infosys Monterrey,DevOps Engineer,Mid,2024,3.3,3.3,3.2,2.7,3.2,Tal vez,Crecimiento profesional
ENC000205,EMP00223,E01,Accenture Monterrey,DevOps Engineer,Mid,2023,4.7,4.2,5.0,5.0,4.7,No,Startup propia
ENC000206,EMP00223,E01,Accenture Monterrey,DevOps Engineer,Mid,2024,3.9,4.5,4.0,3.5,3.8,No,Crecimiento profesional
ENC000207,EMP01056,E01,Accenture Monterrey,Backend Developer,Junior,2023,3.9,4.0,3.7,3.8,4.0,No,Startup propia
ENC000208,EMP01056,E01,Accenture Monterrey,Backend Developer,Junior,2024,3.7,3.5,4.0,3.7,3.6,Tal vez,N/A
ENC000209,EMP07371,E10,Axsis Tecnología,Full Stack Developer,Mid,2023,4.7,4.6,5.0,4.6,4.8,Tal vez,Mejor salario
ENC000210,EMP07520,E11,Skye Group,Software Developer,Junior,2023,4.6,4.5,4.4,4.8,4.8,Tal vez,Mejor salario
ENC000211,EMP05684,E06,BairesDev,DevOps Engineer,Mid,2023,4.1,4.1,4.1,3.7,4.3,No,Mejor salario
ENC000212,EMP05684,E06,BairesDev,DevOps Engineer,Mid,2024,5.0,4.2,5.0,4.6,4.3,Tal vez,Cambio de ciudad
ENC000213,EMP06140,E07,Hexaware Technologies,Software Developer,Senior,2023,4.8,5.0,4.8,4.5,4.5,Tal vez,Startup propia
ENC000214,EMP06140,E07,Hexaware Technologies,Software Developer,Senior,2024,4.8,4.5,4.7,5.0,4.9,No,Crecimiento profesional
ENC000215,EMP03768,E03,Neoris,Project Manager,Senior,2023,4.1,3.8,3.9,3.5,4.0,Sí,Startup propia
ENC000216,EMP03768,E03,Neoris,Project Manager,Senior,2024,5.0,5.0,4.7,4.4,4.9,Sí,Crecimiento profesional
ENC000217,EMP00102,E01,Accenture Monterrey,Frontend Developer,Junior,2023,4.5,4.3,4.4,4.3,4.5,No,Mejor salario
ENC000218,EMP00102,E01,Accenture Monterrey,Frontend Developer,Junior,2024,3.5,2.9,3.6,3.5,3.1,No,Startup propia
ENC000219,EMP00264,E01,Accenture Monterrey,DevOps Engineer,Mid,2024,4.1,4.1,4.4,4.4,4.2,No,Crecimiento profesional
ENC000220,EMP07695,E11,Skye Group,Data Analyst,Mid,2023,4.7,4.4,4.9,4.7,4.9,No,Trabajo remoto
ENC000221,EMP07695,E11,Skye Group,Data Analyst,Mid,2024,4.8,4.3,5.0,5.0,4.3,Tal vez,Mejor salario
ENC000222,EMP07731,E12,TI Monterrey,DevOps Engineer,Mid,2023,3.8,3.2,4.1,4.3,3.7,No,Trabajo remoto
ENC000223,EMP04415,E04,Infosys Monterrey,Full Stack Developer,Junior,2024,4.8,5.0,4.8,4.7,4.5,Tal vez,N/A
ENC000224,EMP01702,E01,Accenture Monterrey,Cybersecurity Analyst,Junior,2023,4.2,4.2,4.2,4.2,4.0,No,Trabajo remoto
ENC000225,EMP04765,E04,Infosys Monterrey,Scrum Master,Mid,2023,3.8,3.5,4.1,3.4,4.4,No,Trabajo remoto
ENC000226,EMP04765,E04,Infosys Monterrey,Scrum Master,Mid,2024,4.9,4.6,4.9,4.9,5.0,Sí,Mejor salario
ENC000227,EMP07305,E10,Axsis Tecnología,Full Stack Developer,Mid,2023,4.7,4.3,4.8,4.9,4.8,No,N/A
ENC000228,EMP07305,E10,Axsis Tecnología,Full Stack Developer,Mid,2024,4.1,3.7,4.2,3.7,3.9,Tal vez,Crecimiento profesional
ENC000229,EMP00626,E01,Accenture Monterrey,Scrum Master,Senior,2024,3.7,3.8,3.9,3.3,3.6,Sí,Crecimiento profesional
ENC000230,EMP01769,E01,Accenture Monterrey,Software Developer,Junior,2023,2.9,2.6,2.9,2.9,3.0,No,Cambio de ciudad
ENC000231,EMP01769,E01,Accenture Monterrey,Software Developer,Junior,2024,4.1,3.7,4.0,4.0,4.0,Tal vez,Crecimiento profesional
ENC000232,EMP07293,E10,Axsis Tecnología,Frontend Developer,Mid,2023,4.0,3.9,4.0,3.9,4.3,No,Mejor salario
ENC000233,EMP07435,E10,Axsis Tecnología,Software Developer,Mid,2023,3.2,2.8,3.6,3.3,3.5,No,Cambio de ciudad
ENC000234,EMP03321,E03,Neoris,Backend Developer,Mid,2023,3.8,3.9,4.3,3.9,3.2,Tal vez,Mejor salario
ENC000235,EMP00394,E01,Accenture Monterrey,Frontend Developer,Junior,2023,3.3,2.9,3.3,3.8,3.1,No,Trabajo remoto
ENC000236,EMP00394,E01,Accenture Monterrey,Frontend Developer,Junior,2024,4.3,4.1,4.3,4.2,4.3,No,Mejor salario
ENC000237,EMP07811,E12,TI Monterrey,Data Analyst,Mid,2023,3.4,3.3,3.4,3.8,3.7,Sí,Startup propia
ENC000238,EMP07811,E12,TI Monterrey,Data Analyst,Mid,2024,3.6,3.2,3.6,3.3,3.9,No,Crecimiento profesional
ENC000239,EMP04295,E04,Infosys Monterrey,Data Analyst,Senior,2023,4.0,3.6,4.0,3.4,4.4,No,Mejor salario
ENC000240,EMP01731,E01,Accenture Monterrey,Data Analyst,Mid,2023,4.3,4.5,4.6,4.3,4.6,Tal vez,Trabajo remoto
ENC000241,EMP01731,E01,Accenture Monterrey,Data Analyst,Mid,2024,3.9,3.8,3.8,3.9,4.0,Tal vez,Mejor salario
ENC000242,EMP06883,E08,AZKA IT Consulting,Project Manager,Mid,2023,3.8,3.3,3.9,4.1,3.3,No,Trabajo remoto
ENC000243,EMP06883,E08,AZKA IT Consulting,Project Manager,Mid,2024,4.4,4.0,4.5,4.3,4.4,No,N/A
ENC000244,EMP01894,E02,Tata Consultancy Services,Data Analyst,Mid,2023,3.8,3.2,3.7,3.3,3.7,Sí,Cambio de ciudad
ENC000245,EMP01894,E02,Tata Consultancy Services,Data Analyst,Mid,2024,4.6,3.9,4.6,4.6,4.5,No,Trabajo remoto
ENC000246,EMP02133,E02,Tata Consultancy Services,Software Developer,Junior,2024,3.3,3.2,3.3,3.4,3.2,Tal vez,Crecimiento profesional
ENC000247,EMP00454,E01,Accenture Monterrey,Cybersecurity Analyst,Junior,2024,4.3,3.8,4.4,3.8,4.4,Tal vez,Mejor salario
ENC000248,EMP00240,E01,Accenture Monterrey,Data Analyst,Junior,2023,3.3,3.2,3.4,2.9,3.5,No,Mejor salario
ENC000249,EMP00240,E01,Accenture Monterrey,Data Analyst,Junior,2024,4.5,4.5,4.5,4.4,4.8,Tal vez,Mejor salario
ENC000250,EMP04535,E04,Infosys Monterrey,Software Developer,Mid,2023,3.5,3.3,3.8,3.1,3.0,No,Mejor salario
ENC000251,EMP04535,E04,Infosys Monterrey,Software Developer,Mid,2024,4.1,3.6,4.2,4.2,4.3,No,Crecimiento profesional
ENC000252,EMP00133,E01,Accenture Monterrey,Full Stack Developer,Mid,2023,4.4,4.2,4.9,4.4,5.0,No,N/A
ENC000253,EMP00133,E01,Accenture Monterrey,Full Stack Developer,Mid,2024,3.5,3.8,3.7,3.1,3.9,Tal vez,Mejor salario
ENC000254,EMP06287,E07,Hexaware Technologies,Software Developer,Junior,2023,4.0,4.0,4.0,3.5,3.7,No,Mejor salario
ENC000255,EMP02800,E02,Tata Consultancy Services,Cybersecurity Analyst,Junior,2023,3.7,3.4,3.8,3.6,3.6,Sí,Mejor salario
ENC000256,EMP02800,E02,Tata Consultancy Services,Cybersecurity Analyst,Junior,2024,3.3,3.0,3.5,3.3,3.3,Tal vez,Mejor salario
ENC000257,EMP01516,E01,Accenture Monterrey,Backend Developer,Mid,2023,3.7,3.4,4.0,3.4,3.6,Tal vez,Trabajo remoto
ENC000258,EMP01516,E01,Accenture Monterrey,Backend Developer,Mid,2024,3.6,3.5,3.7,3.8,3.5,No,Trabajo remoto
ENC000259,EMP00038,E01,Accenture Monterrey,Scrum Master,Mid,2023,4.1,4.2,4.2,4.2,4.1,No,Crecimiento profesional
ENC000260,EMP00038,E01,Accenture Monterrey,Scrum Master,Mid,2024,3.9,3.0,4.2,3.4,3.6,No,Mejor salario
ENC000261,EMP06202,E07,Hexaware Technologies,Full Stack Developer,Junior,2023,3.4,2.9,3.8,3.2,3.6,Sí,Trabajo remoto
ENC000262,EMP06202,E07,Hexaware Technologies,Full Stack Developer,Junior,2024,3.1,3.1,3.2,3.1,2.9,No,Cambio de ciudad
ENC000263,EMP03766,E03,Neoris,Backend Developer,Senior,2023,4.9,4.6,5.0,4.9,4.9,No,Mejor salario
ENC000264,EMP03766,E03,Neoris,Backend Developer,Senior,2024,4.9,4.1,5.0,4.4,4.8,Tal vez,Mejor salario
ENC000265,EMP03435,E03,Neoris,Backend Developer,Senior,2023,4.9,4.9,5.0,4.8,5.0,No,Startup propia
ENC000266,EMP03435,E03,Neoris,Backend Developer,Senior,2024,4.5,4.5,4.6,4.3,4.7,No,Crecimiento profesional
ENC000267,EMP04739,E04,Infosys Monterrey,DevOps Engineer,Mid,2023,4.9,4.8,4.9,5.0,5.0,No,Startup propia
ENC000268,EMP01906,E02,Tata Consultancy Services,Software Developer,Senior,2023,4.2,4.3,4.1,3.9,4.0,No,Mejor salario
ENC000269,EMP01906,E02,Tata Consultancy Services,Software Developer,Senior,2024,4.2,3.6,4.0,4.1,3.9,No,Cambio de ciudad
ENC000270,EMP01916,E02,Tata Consultancy Services,Full Stack Developer,Mid,2023,4.4,4.1,4.2,4.0,4.3,Tal vez,Mejor salario
ENC000271,EMP01916,E02,Tata Consultancy Services,Full Stack Developer,Mid,2024,3.5,3.4,3.5,3.9,3.5,Tal vez,Trabajo remoto
ENC000272,EMP03711,E03,Neoris,Software Developer,Junior,2023,4.6,4.8,4.3,4.4,4.4,Tal vez,Crecimiento profesional
ENC000273,EMP03711,E03,Neoris,Software Developer,Junior,2024,4.3,4.4,4.4,4.6,4.4,Tal vez,Crecimiento profesional
ENC000274,EMP00857,E01,Accenture Monterrey,Full Stack Developer,Mid,2024,4.1,4.5,4.1,4.0,4.1,Sí,Mejor salario
ENC000275,EMP05026,E05,Globant Monterrey,Backend Developer,Mid,2023,4.6,4.4,4.8,4.7,4.3,Tal vez,Mejor salario
ENC000276,EMP05026,E05,Globant Monterrey,Backend Developer,Mid,2024,4.8,4.2,4.7,4.8,5.0,Tal vez,N/A
ENC000277,EMP02192,E02,Tata Consultancy Services,Full Stack Developer,Senior,2024,3.6,3.4,3.8,3.0,4.1,Sí,Trabajo remoto
ENC000278,EMP00510,E01,Accenture Monterrey,Cloud Architect,Mid,2023,4.6,4.4,5.0,4.9,4.4,No,Mejor salario
ENC000279,EMP00510,E01,Accenture Monterrey,Cloud Architect,Mid,2024,4.3,4.5,4.2,3.8,4.5,No,Mejor salario
ENC000280,EMP06827,E08,AZKA IT Consulting,Full Stack Developer,Junior,2023,3.4,3.2,3.4,3.3,3.4,No,Startup propia
ENC000281,EMP06827,E08,AZKA IT Consulting,Full Stack Developer,Junior,2024,4.2,3.8,4.4,4.6,4.1,No,Mejor salario
ENC000282,EMP03888,E03,Neoris,Project Manager,Mid,2023,3.9,3.6,3.9,3.6,4.2,No,N/A
ENC000283,EMP03888,E03,Neoris,Project Manager,Mid,2024,4.6,4.7,5.0,4.8,4.7,No,Cambio de ciudad
ENC000284,EMP02112,E02,Tata Consultancy Services,Project Manager,Mid,2023,4.4,4.4,4.3,4.1,4.5,Sí,Mejor salario
ENC000285,EMP02112,E02,Tata Consultancy Services,Project Manager,Mid,2024,4.2,3.8,4.1,3.9,3.9,Tal vez,Cambio de ciudad
ENC000286,EMP02606,E02,Tata Consultancy Services,Data Analyst,Mid,2023,4.1,4.2,3.9,3.7,4.1,No,Crecimiento profesional
ENC000287,EMP02209,E02,Tata Consultancy Services,DevOps Engineer,Senior,2024,5.0,5.0,4.8,5.0,4.9,Tal vez,Trabajo remoto
ENC000288,EMP02700,E02,Tata Consultancy Services,Data Analyst,Mid,2024,3.8,3.6,3.6,3.3,3.2,Tal vez,Crecimiento profesional
ENC000289,EMP06738,E08,AZKA IT Consulting,Project Manager,Senior,2023,4.9,4.7,4.9,4.8,4.9,No,Mejor salario
ENC000290,EMP06738,E08,AZKA IT Consulting,Project Manager,Senior,2024,5.0,4.4,5.0,5.0,4.8,Tal vez,Crecimiento profesional
ENC000291,EMP00096,E01,Accenture Monterrey,Frontend Developer,Senior,2023,4.7,4.8,4.7,4.3,4.6,Sí,Cambio de ciudad
ENC000292,EMP00096,E01,Accenture Monterrey,Frontend Developer,Senior,2024,3.7,3.4,3.9,3.6,3.9,Sí,Trabajo remoto
ENC000293,EMP03430,E03,Neoris,Frontend Developer,Mid,2023,3.9,3.6,3.9,3.7,4.2,Tal vez,Mejor salario
ENC000294,EMP03430,E03,Neoris,Frontend Developer,Mid,2024,3.9,3.7,3.4,3.9,3.9,No,Crecimiento profesional
ENC000295,EMP03833,E03,Neoris,Project Manager,Senior,2023,5.0,4.3,5.0,5.0,5.0,Sí,Cambio de ciudad
ENC000296,EMP03833,E03,Neoris,Project Manager,Senior,2024,4.8,4.3,5.0,4.5,5.0,Tal vez,N/A
ENC000297,EMP06187,E07,Hexaware Technologies,Full Stack Developer,Mid,2023,3.7,4.0,3.6,3.9,3.5,No,Trabajo remoto
ENC000298,EMP06187,E07,Hexaware Technologies,Full Stack Developer,Mid,2024,3.7,3.1,4.0,4.0,3.4,Tal vez,Crecimiento profesional
ENC000299,EMP02639,E02,Tata Consultancy Services,Project Manager,Mid,2024,4.1,4.0,4.1,4.3,4.2,Tal vez,N/A
ENC000300,EMP06758,E08,AZKA IT Consulting,Data Analyst,Mid,2023,4.5,4.4,4.5,4.0,4.5,No,Mejor salario
ENC000301,EMP06758,E08,AZKA IT Consulting,Data Analyst,Mid,2024,3.7,3.5,3.8,3.5,4.0,Sí,Trabajo remoto
ENC000302,EMP02674,E02,Tata Consultancy Services,DevOps Engineer,Senior,2023,4.3,3.9,4.5,4.5,4.6,Sí,Mejor salario
ENC000303,EMP03758,E03,Neoris,Software Developer,Junior,2023,4.0,3.9,3.9,4.1,3.9,No,Mejor salario
ENC000304,EMP03758,E03,Neoris,Software Developer,Junior,2024,3.8,4.0,3.7,3.7,4.2,No,Mejor salario
ENC000305,EMP06762,E08,AZKA IT Consulting,Data Analyst,Mid,2024,4.0,3.9,4.1,3.7,3.8,Sí,Trabajo remoto
ENC000306,EMP05236,E05,Globant Monterrey,Backend Developer,Senior,2023,5.0,4.9,5.0,5.0,5.0,Sí,Trabajo remoto
ENC000307,EMP05236,E05,Globant Monterrey,Backend Developer,Senior,2024,3.9,3.2,4.1,3.9,4.2,Tal vez,Mejor salario
ENC000308,EMP06901,E09,Deintec,Cybersecurity Analyst,Junior,2023,4.6,4.3,4.7,4.3,4.4,No,Trabajo remoto
ENC000309,EMP06901,E09,Deintec,Cybersecurity Analyst,Junior,2024,4.4,4.0,4.5,4.2,4.6,No,Trabajo remoto
ENC000310,EMP03126,E03,Neoris,Backend Developer,Junior,2023,3.5,3.5,3.9,3.3,3.7,No,Mejor salario
ENC000311,EMP03126,E03,Neoris,Backend Developer,Junior,2024,4.6,3.9,4.7,4.7,4.6,Tal vez,Startup propia
ENC000312,EMP02955,E02,Tata Consultancy Services,Cloud Architect,Mid,2023,3.8,3.5,4.0,3.9,3.5,Sí,Trabajo remoto
ENC000313,EMP04801,E04,Infosys Monterrey,Backend Developer,Mid,2023,4.0,3.2,3.8,4.5,3.7,No,N/A
ENC000314,EMP04801,E04,Infosys Monterrey,Backend Developer,Mid,2024,3.7,3.2,3.7,3.8,3.7,Tal vez,Startup propia
ENC000315,EMP04996,E05,Globant Monterrey,Backend Developer,Senior,2023,4.3,4.0,4.1,3.8,4.1,Tal vez,Cambio de ciudad
ENC000316,EMP04996,E05,Globant Monterrey,Backend Developer,Senior,2024,4.4,4.5,4.3,4.9,4.4,No,Trabajo remoto
ENC000317,EMP06852,E08,AZKA IT Consulting,Scrum Master,Mid,2023,4.5,4.2,4.4,4.0,4.7,No,Trabajo remoto
ENC000318,EMP07601,E11,Skye Group,Frontend Developer,Senior,2023,4.7,4.3,4.6,4.3,5.0,No,N/A
ENC000319,EMP07601,E11,Skye Group,Frontend Developer,Senior,2024,3.8,3.9,4.0,3.1,3.8,No,Trabajo remoto
ENC000320,EMP06822,E08,AZKA IT Consulting,DevOps Engineer,Senior,2024,3.6,3.6,3.7,3.1,3.8,No,Mejor salario
ENC000321,EMP01347,E01,Accenture Monterrey,Software Developer,Mid,2023,4.6,4.4,4.3,4.6,4.6,Sí,Cambio de ciudad
ENC000322,EMP03039,E02,Tata Consultancy Services,Frontend Developer,Mid,2024,4.7,4.2,4.7,4.9,4.9,No,Mejor salario
ENC000323,EMP06164,E07,Hexaware Technologies,Data Analyst,Junior,2023,3.8,3.6,3.9,3.5,3.9,No,Mejor salario
ENC000324,EMP07320,E10,Axsis Tecnología,Full Stack Developer,Mid,2023,3.8,3.6,3.9,3.9,3.7,Sí,Mejor salario
ENC000325,EMP07320,E10,Axsis Tecnología,Full Stack Developer,Mid,2024,3.9,3.5,3.6,4.1,4.1,Tal vez,Mejor salario
ENC000326,EMP05921,E06,BairesDev,Cybersecurity Analyst,Mid,2023,4.4,4.2,4.4,4.0,4.1,No,Mejor salario
ENC000327,EMP05921,E06,BairesDev,Cybersecurity Analyst,Mid,2024,4.5,4.4,4.7,4.5,4.6,No,Trabajo remoto
ENC000328,EMP06978,E09,Deintec,Frontend Developer,Senior,2023,4.9,4.7,5.0,4.8,4.6,Tal vez,Trabajo remoto
ENC000329,EMP06978,E09,Deintec,Frontend Developer,Senior,2024,4.9,5.0,5.0,5.0,4.5,No,Trabajo remoto
ENC000330,EMP01204,E01,Accenture Monterrey,Project Manager,Mid,2023,3.3,3.4,3.4,2.9,3.3,Tal vez,Crecimiento profesional
ENC000331,EMP01204,E01,Accenture Monterrey,Project Manager,Mid,2024,3.7,3.6,3.9,3.2,3.7,No,Mejor salario
ENC000332,EMP03965,E03,Neoris,Cybersecurity Analyst,Junior,2023,4.4,3.9,4.6,4.7,4.2,Sí,Crecimiento profesional
ENC000333,EMP03965,E03,Neoris,Cybersecurity Analyst,Junior,2024,3.7,3.4,3.8,4.3,3.4,No,Crecimiento profesional
ENC000334,EMP01671,E01,Accenture Monterrey,Frontend Developer,Mid,2023,4.0,3.7,4.0,4.3,4.1,No,Cambio de ciudad
ENC000335,EMP01671,E01,Accenture Monterrey,Frontend Developer,Mid,2024,3.8,3.4,3.9,3.8,3.8,No,Trabajo remoto
ENC000336,EMP06154,E07,Hexaware Technologies,Full Stack Developer,Senior,2024,3.4,3.5,3.8,3.6,2.5,Tal vez,Startup propia
ENC000337,EMP01510,E01,Accenture Monterrey,Project Manager,Mid,2023,4.5,4.6,4.7,4.5,4.3,Sí,Startup propia
ENC000338,EMP00744,E01,Accenture Monterrey,Data Analyst,Senior,2023,3.8,3.4,3.8,3.7,3.9,No,Mejor salario
ENC000339,EMP03185,E03,Neoris,Frontend Developer,Mid,2023,4.4,4.4,4.2,3.7,4.4,No,Trabajo remoto
ENC000340,EMP03185,E03,Neoris,Frontend Developer,Mid,2024,3.7,3.2,4.0,3.9,3.3,Sí,Crecimiento profesional
ENC000341,EMP04106,E04,Infosys Monterrey,Project Manager,Senior,2023,4.9,4.5,4.9,5.0,4.6,Sí,N/A
ENC000342,EMP04106,E04,Infosys Monterrey,Project Manager,Senior,2024,4.2,4.1,4.2,3.5,4.4,No,Trabajo remoto
ENC000343,EMP03140,E03,Neoris,Software Developer,Senior,2023,4.1,3.8,4.5,4.4,4.2,No,Trabajo remoto
ENC000344,EMP03140,E03,Neoris,Software Developer,Senior,2024,4.9,4.1,4.9,4.8,4.8,No,Cambio de ciudad
ENC000345,EMP03150,E03,Neoris,Software Developer,Mid,2023,4.2,3.7,4.2,4.2,4.2,No,Mejor salario
ENC000346,EMP03150,E03,Neoris,Software Developer,Mid,2024,3.7,3.7,4.0,3.9,4.1,No,Startup propia
ENC000347,EMP02821,E02,Tata Consultancy Services,Cybersecurity Analyst,Junior,2024,3.5,3.2,3.9,3.1,3.6,Tal vez,Crecimiento profesional
ENC000348,EMP06417,E07,Hexaware Technologies,Software Developer,Senior,2023,4.4,4.0,4.5,4.1,4.3,No,Mejor salario
ENC000349,EMP07567,E11,Skye Group,Data Analyst,Senior,2024,3.7,3.3,3.8,3.5,4.1,Sí,N/A
ENC000350,EMP07799,E12,TI Monterrey,Full Stack Developer,Mid,2024,4.5,4.6,4.1,4.4,3.9,No,Mejor salario
ENC000351,EMP02349,E02,Tata Consultancy Services,Backend Developer,Mid,2023,4.1,4.2,4.3,4.4,3.9,Tal vez,Trabajo remoto
ENC000352,EMP02349,E02,Tata Consultancy Services,Backend Developer,Mid,2024,4.6,4.4,4.7,4.2,4.9,No,N/A
ENC000353,EMP06956,E09,Deintec,Cloud Architect,Senior,2023,5.0,5.0,5.0,4.7,4.8,Tal vez,N/A
ENC000354,EMP03705,E03,Neoris,Backend Developer,Mid,2023,4.7,4.4,4.6,4.2,4.9,No,N/A
ENC000355,EMP04697,E04,Infosys Monterrey,Frontend Developer,Junior,2023,4.8,4.7,4.6,5.0,4.8,Tal vez,Crecimiento profesional
ENC000356,EMP04697,E04,Infosys Monterrey,Frontend Developer,Junior,2024,4.5,4.2,4.5,4.8,4.5,No,Crecimiento profesional
ENC000357,EMP06946,E09,Deintec,Software Developer,Mid,2024,3.5,3.3,3.4,3.8,3.6,No,Crecimiento profesional
ENC000358,EMP00158,E01,Accenture Monterrey,Project Manager,Mid,2023,3.7,3.2,3.4,3.5,3.6,Tal vez,Startup propia
ENC000359,EMP00158,E01,Accenture Monterrey,Project Manager,Mid,2024,3.4,3.4,3.9,3.5,3.7,Tal vez,Mejor salario
ENC000360,EMP07338,E10,Axsis Tecnología,Software Developer,Junior,2023,3.3,3.4,3.5,2.6,3.1,No,N/A
ENC000361,EMP06688,E08,AZKA IT Consulting,Data Analyst,Junior,2023,3.0,2.9,3.0,2.7,2.8,No,Mejor salario
ENC000362,EMP05258,E05,Globant Monterrey,Backend Developer,Mid,2024,4.2,4.2,4.4,3.9,4.8,Tal vez,Cambio de ciudad
ENC000363,EMP04975,E05,Globant Monterrey,Software Developer,Junior,2024,3.8,3.6,3.9,3.7,3.9,Tal vez,Trabajo remoto
ENC000364,EMP04457,E04,Infosys Monterrey,Software Developer,Mid,2023,3.2,2.5,3.2,2.9,3.0,No,N/A
ENC000365,EMP04457,E04,Infosys Monterrey,Software Developer,Mid,2024,4.6,4.0,5.0,4.8,4.4,No,Cambio de ciudad
ENC000366,EMP04208,E04,Infosys Monterrey,DevOps Engineer,Mid,2024,4.6,4.0,4.9,3.7,4.2,Sí,Startup propia
ENC000367,EMP01329,E01,Accenture Monterrey,Cybersecurity Analyst,Junior,2023,4.2,3.8,4.4,4.1,4.3,Sí,N/A
ENC000368,EMP01329,E01,Accenture Monterrey,Cybersecurity Analyst,Junior,2024,4.4,4.0,4.3,3.9,4.5,No,Mejor salario
ENC000369,EMP07491,E11,Skye Group,Data Analyst,Junior,2024,4.6,4.2,4.7,4.3,5.0,No,Mejor salario
ENC000370,EMP02989,E02,Tata Consultancy Services,Software Developer,Senior,2023,5.0,5.0,4.9,5.0,5.0,No,Mejor salario
ENC000371,EMP00684,E01,Accenture Monterrey,DevOps Engineer,Mid,2024,4.7,4.1,5.0,4.9,4.6,Tal vez,Mejor salario
ENC000372,EMP06537,E08,AZKA IT Consulting,Backend Developer,Mid,2024,4.4,4.0,4.7,4.5,4.2,No,N/A
ENC000373,EMP07279,E10,Axsis Tecnología,Full Stack Developer,Junior,2023,3.2,3.1,3.3,3.2,3.1,Tal vez,N/A
ENC000374,EMP07279,E10,Axsis Tecnología,Full Stack Developer,Junior,2024,3.4,3.0,3.3,3.3,3.2,Tal vez,Mejor salario
ENC000375,EMP01784,E02,Tata Consultancy Services,Data Analyst,Senior,2023,4.3,4.1,4.5,4.1,4.3,Tal vez,Trabajo remoto
ENC000376,EMP01784,E02,Tata Consultancy Services,Data Analyst,Senior,2024,5.0,4.6,5.0,4.8,5.0,No,Crecimiento profesional
ENC000377,EMP07144,E09,Deintec,Frontend Developer,Mid,2023,3.8,3.8,3.7,3.9,3.6,No,Trabajo remoto
ENC000378,EMP07144,E09,Deintec,Frontend Developer,Mid,2024,3.5,3.8,3.6,3.7,3.3,Tal vez,Mejor salario
ENC000379,EMP07438,E10,Axsis Tecnología,Project Manager,Mid,2023,4.3,4.9,4.6,4.0,4.0,No,Crecimiento profesional
ENC000380,EMP07438,E10,Axsis Tecnología,Project Manager,Mid,2024,5.0,5.0,5.0,4.9,4.8,Tal vez,Crecimiento profesional
ENC000381,EMP04031,E04,Infosys Monterrey,Backend Developer,Junior,2023,4.0,4.3,4.2,3.8,3.8,Tal vez,Crecimiento profesional
ENC000382,EMP04031,E04,Infosys Monterrey,Backend Developer,Junior,2024,3.7,3.6,3.7,3.2,3.8,No,Trabajo remoto
ENC000383,EMP03414,E03,Neoris,Software Developer,Mid,2023,4.7,4.5,4.8,4.7,4.7,Sí,Mejor salario
ENC000384,EMP03414,E03,Neoris,Software Developer,Mid,2024,4.4,4.6,4.6,4.2,4.5,No,Trabajo remoto
ENC000385,EMP00320,E01,Accenture Monterrey,Frontend Developer,Mid,2023,4.1,3.9,4.3,4.2,4.4,No,Cambio de ciudad
ENC000386,EMP00320,E01,Accenture Monterrey,Frontend Developer,Mid,2024,3.9,3.8,3.8,3.4,4.1,Tal vez,Mejor salario
ENC000387,EMP02587,E02,Tata Consultancy Services,Software Developer,Mid,2023,4.5,4.6,4.4,4.1,4.0,Tal vez,Cambio de ciudad
ENC000388,EMP02587,E02,Tata Consultancy Services,Software Developer,Mid,2024,4.5,4.2,4.8,4.1,4.3,No,Cambio de ciudad
ENC000389,EMP02472,E02,Tata Consultancy Services,Backend Developer,Mid,2023,3.7,3.4,3.5,2.9,3.7,Tal vez,Trabajo remoto
ENC000390,EMP02472,E02,Tata Consultancy Services,Backend Developer,Mid,2024,4.2,3.7,4.4,3.8,4.2,Tal vez,Mejor salario
ENC000391,EMP06302,E07,Hexaware Technologies,Frontend Developer,Mid,2024,3.3,3.2,3.3,2.9,3.0,Sí,Mejor salario
ENC000392,EMP03892,E03,Neoris,Cloud Architect,Senior,2023,4.3,4.3,4.5,3.7,4.0,Tal vez,Mejor salario
ENC000393,EMP03892,E03,Neoris,Cloud Architect,Senior,2024,3.4,2.6,3.3,3.0,3.4,Tal vez,Mejor salario
